I;dI;Uk;dUk
1.25;0.0;81.07;1.00
1.95;0.0;127.20;1.00
2.27;0.0;210.69;1.00
3.16;0.0;317.59;1.00
4.08;0.0;370.48;1.00
5.31;0.0;428.80;1.00
4.55;0.0;387.54;1.00
3.74;0.0;338.98;1.00
2.73;0.0;279.00;1.00
