I&dI&Uk&dUk
0.125&0.011926860441876564&81.07&5.0
0.195&0.012404660414537756&127.2&5.0
0.227&0.012635670777604172&210.69&5.0
0.31600000000000006&0.013315376975512185&317.59&5.0
0.40800000000000003&0.014068788718294124&370.48&5.0
0.531&0.015143394071343451&428.8&5.0
0.455&0.014471060776598238&387.54&5.0
0.37400000000000005&0.013784851975991618&338.98&5.0
0.273&0.012980453613029092&279.0&5.0
