I&dI&Uk&dUk
0.282&0.010922062808828742&159.42&1.0
0.5870000000000001&0.013930467903125151&318.7&1.0
0.7440000000000001&0.015588110340897644&405.5&1.0
0.651&0.014599566568908819&354.36&1.0
0.8250000000000001&0.016462381358722075&450.0&1.0
0.119&0.009503640565593798&72.0&1.0
0.21000000000000002&0.010273772432753221&123.94&1.0
0.34400000000000003&0.011503059766862033&189.42&1.0
0.8660000000000001&0.016908981755268414&470.7&1.0
