I&dI&Uk&dUk
0.126&0.011108831801769256&65.08&3.0
0.227&0.011860024283280366&202.63&3.0
0.378&0.01311240999969113&269.32&3.0
0.45599999999999996&0.01380806952473806&310.35&3.0
0.546&0.014644067194601368&364.73&3.0
0.597&0.015131519950090938&400.5&3.0
0.647&0.015617928671882197&435.8&3.0
0.671&0.0158541699246602&448.3&3.0
0.7280000000000001&0.016421866398189947&478.6&3.0
