I;dI;B;dB
0.2;0.022;0.5;0.01
0.25;0.022;0.55;0.01
0.3;0.022;0.6;0.01
0.35;0.022;0.65;0.01
0.4;0.022;0.7;0.02
0.45;0.022;0.75;0.02
0.5;0.022;0.8;0.02
0.55;0.022;0.85;0.03
0.6;0.022;0.9;0.03
0.65;0.022;0.95;0.03
