  &  Reihe1  &  Reihe2  &  Reihe3  &  delta1  &  delta2  &  delta3
1  &  156.96  &  111.0  &  66.26  &  1.0229979298199974  &  1.0220387517114995  &  1.0003544091350824
2  &  315.6  &  223.6  &  134.4  &  1.0264599522631168  &  1.0244237256135764  &  1.0225246371603962
3  &  474.2  &  337.2  &  204.16  &  1.030153705230438  &  1.0269493845365505  &  1.0240035219939432
4  &  632.4  &  449.8  &  273.4  &  1.034067356413498  &  1.029570396039047  &  1.0255161995795092
5  &  790.8  &  570.8  &  343.2  &  1.0382127173176026  &  1.0325164049059947  &  1.0270861027197282
6  &  950.6  &  684.6  &  417.0  &  1.042621889085396  &  1.035408504697542  &  1.0287948726544083
7  &  1110.2  &  799.4  &  486.2  &  1.047250419145297  &  1.0384442226715886  &  1.030442576954194
8  &  1269.6  &  915.8  &  559.4  &  1.0520945022192636  &  1.0416424033227527  &  1.0322331537012364
