I;dI;e;de
1.60;0.0;13.0;4.0
2.28;0.0;16.0;2.0
3.59;0.0;25.0;2.0
4.59;0.0;29.0;2.0
5.25;0.0;31.0;1.0
6.08;0.0;35.0;1.0
7.64;0.0;42.0;1.0
9.20;0.0;48.0;1.0
12.3;0.0;60.0;2.0
14.28;0.0;67.0;2.0
