I&dI&durchI&DelDurchI&g&dg&e&de&r&dr
0.192&0.007304&5.208333333333333&0.19813368055555555&0.016&0.004&0.064&0.004&0.46386204845837514&0.1390256271339928
0.36600000000000005&0.009392000000000001&2.7322404371584694&0.07011257427812115&0.028&0.003&0.052000000000000005&0.003&0.2299107191400832&0.03257928288119453
0.541&0.011492&1.8484288354898335&0.03926459182522951&0.038&0.002&0.042&0.002&0.151916309515973&0.01113345028503155
0.7200000000000001&0.013640000000000003&1.3888888888888886&0.02631172839506173&0.046&0.001&0.034&0.001&0.11614997475316419&0.003570437928969005
0.892&0.015704&1.1210762331838564&0.0197369744012548&0.053&0.001&0.027000000000000003&0.001&0.09511253288828109&0.002520766330472777
1.05&0.0176&0.9523809523809523&0.01596371882086168&0.061&0.002&0.019000000000000003&0.002&0.07837293356724997&0.0034623356534427712
1.2400000000000002&0.019880000000000002&0.8064516129032256&0.012929240374609779&0.069&0.002&0.010999999999999996&0.002&0.06682671478431124&0.0024113799163504456
0.8&0.014600000000000002&1.25&0.0228125&0.049&0.001&0.031&0.001&0.10622475543498319&0.0030633708196445304
0.6160000000000001&0.012392&1.6233766233766231&0.0326572777871479&0.04&0.002&0.04&0.002&0.14142135623730948&0.009905806378079472
