I;dI;e;de
2.84;0.0;18.0;4.0
3.64;0.0;23.0;2.0
4.83;0.0;27.0;2.0
5.93;0.0;32.0;2.0
7.31;0.0;37.0;2.0
9.21;0.0;45.0;2.0
11.48;0.0;53.0;2.0
13.06;0.0;58.0;2.0
14.71;0.0;63.0;2.0
16.08;0.0;68.0;4.0
