I&dI&durchI&DelDurchI&g&dg&e&de&r&dr
0.16000000000000003&0.006920000000000001&6.249999999999999&0.27031249999999996&0.013000000000000001&0.004&0.067&0.004&0.5922835184877168&0.21219739290840353
0.22799999999999998&0.007736&4.385964912280702&0.14881502000615576&0.016&0.002&0.064&0.002&0.46386204845837514&0.07015785772099943
0.359&0.009308&2.785515320334262&0.07222166184309557&0.025&0.002&0.055&0.002&0.26657925650732833&0.027719282097485847
0.459&0.010508&2.178649237472767&0.04987635334937655&0.029&0.002&0.051000000000000004&0.002&0.21947131508483153&0.020193479520105577
0.525&0.011300000000000001&1.9047619047619047&0.040997732426303855&0.031&0.001&0.049&0.001&0.20074989616847755&0.00882504465865206
0.6080000000000001&0.012296000000000001&1.6447368421052628&0.03326263850415512&0.035&0.001&0.045&0.001&0.1702107037570475&0.006731001616192386
0.764&0.014168&1.3089005235602094&0.024272909185603465&0.042&0.001&0.038&0.001&0.132060609324459&0.0044295591730245405
0.9199999999999999&0.01604&1.0869565217391306&0.01895085066162571&0.048&0.001&0.032&0.001&0.10936584882351934&0.003221503751317556
1.2300000000000002&0.019760000000000003&0.8130081300813007&0.013061008658867073&0.06&0.002&0.020000000000000004&0.002&0.0801387685344754&0.0036245476516404565
1.428&0.022136&0.700280112044818&0.01085532252116533&0.067&0.002&0.012999999999999998&0.002&0.06932812605394673&0.002638627804555837
