I&dI&durchI&DelDurchI&g&dg&e&de&r&dr
0.284&0.008407999999999999&3.5211267605633805&0.10424518944653838&0.018000000000000002&0.004&0.062&0.004&0.4024223259152773&0.10920794507144446
0.36400000000000005&0.009368000000000001&2.747252747252747&0.0707040212534718&0.023&0.002&0.057&0.002&0.2966466665943042&0.033046619813037824
0.48300000000000004&0.010796&2.0703933747412004&0.04627736412775569&0.027&0.002&0.053000000000000005&0.002&0.24117579066470066&0.023536707255203588
0.593&0.012116&1.6863406408094437&0.034454811473941346&0.032&0.002&0.048&0.002&0.1923330444827409&0.01631046443238205
0.731&0.013772&1.3679890560875514&0.025772838960927164&0.037&0.002&0.043000000000000003&0.002&0.15764659021642788&0.011823836871705368
0.9210000000000002&0.016052000000000004&1.0857763300760042&0.01892386715567863&0.045&0.002&0.035&0.002&0.1198153157010539&0.007525378744973337
1.1480000000000001&0.018776&0.8710801393728222&0.014246864718522741&0.053&0.002&0.027000000000000003&0.002&0.09511253288828109&0.00503292238789817
1.306&0.020672000000000003&0.7656967840735068&0.012119819234584637&0.058&0.002&0.022&0.002&0.08392626002910676&0.003974845320914521
1.471&0.022652000000000002&0.6798096532970768&0.010468421663144382&0.063&0.002&0.017&0.002&0.07507678189455265&0.003161081736858503
1.6079999999999999&0.024295999999999998&0.6218905472636816&0.009396425831043786&0.068&0.004&0.011999999999999997&0.004&0.06804862906007009&0.005012105799697302
