volumen & delvolumen & pV & delpV
97.80972450961724 & 2.019252415672702 & 23.083094984269668 & 0.7869753491507562
117.44467859455347 & 2.0390122250636193 & 24.07615911188346 & 0.8603750706888172
137.07963267948966 & 2.0615766770166726 & 24.811413514987628 & 0.9537616673127671
156.71458676442586 & 2.086854796573226 & 25.231048469072565 & 1.0582168551579776
176.34954084936209 & 2.1147492745580068 & 25.923382504856228 & 1.1711979211546544
186.16701789183017 & 2.129645897194671 & 26.063382504856225 & 1.2287709958555224
195.98449493429828 & 2.1451580482584296 & 26.06593782626167 & 1.2869367969387493
205.8019719767664 & 2.1612724742505454 & 26.342652413026098 & 1.34650056790854
215.61944901923448 & 2.1779758068614017 & 26.089953331327372 & 1.4055647729041012
225.4369260617026 & 2.1952546034502274 & 26.601557275280904 & 1.4665591813971268
235.2544031041707 & 2.213095385210632 & 26.34849314766712 & 1.5266197520855322
245.07188014663882 & 2.231484672922294 & 26.95790681613027 & 1.5883077452817544
254.88935718910693 & 2.250409020224763 & 26.76338250485623 & 1.6491046923877832
264.706834231575 & 2.269855044381949 & 26.735390257389078 & 1.7103847572715523
274.5243112740431 & 2.289809454535185 & 27.45243112740431 & 1.7726645858575183
284.3417883165112 & 2.3102590774687166 & 27.012469890068566 & 1.8338564345709087
294.1592653589793 & 2.3311908809339976 & 27.062652413026097 & 1.8957093027131133
303.97674240144744 & 2.3525919945983818 & 27.35790681613027 & 1.957883345380782
313.79421944391555 & 2.3744497286997457 & 27.613891311064567 & 2.020099010537841
