position;dPos;Intensity;dInt
0.8751;0.01264213586733605;0.003822549019607843;0.0020953400265803206
1.29306;0.01802956335645225;0.005685294117647059;0.0010788876040301652
1.7458475;0.024000779986930017;0.0078098039215686275;0.0026352980080892536
2.233465;0.030493920520161418;0.011242156862745097;0.0007394592272314052
2.67232;0.03636428728392466;0.020457843137254902;0.001727537407050622
3.1320749999999995;0.042533039064172475;0.0554578431372549;0.002521601154508186
4.2326999999999995;0.057332595812637346;0.05294117647058824;0.0013641648690978397
4.65762;0.063054465704803;0.02261470588235294;0.0005663872934595984
5.1243425;0.06934279558108816;0.013922549019607844;0.0006921948183412738
5.570164999999999;0.07535143827968831;0.010358823529411766;0.0008883773999354864
6.022952500000001;0.08145540745938427;0.00980392156862745;0.0015525714222778516
6.4896725;0.08774882917155002;0.008823529411764706;0.0021902630752592333
