position;dPos;Intensity;dInt
-0.2577424999999991;0.04646343979249705;0.9587911764705883;0.09595423888887175
-0.25077749999999943;0.046556051818402645;0.9491176470588235;0.0951188587883254
-0.24380749999999907;0.046649732897582404;0.9506862745098039;0.09532512824859952
-0.23684499999999975;0.04674406048577875;0.9633990196078432;0.09677852814422358
-0.2298774999999993;0.046836965916687574;0.9713725490196078;0.09717013288611749
-0.22291249999999962;0.046931575142393836;0.9726803921568627;0.09727434924864851
-0.21594749999999907;0.047024205886729835;0.9730725490196077;0.09734000521358839
-0.2089774999999996;0.04711789566237885;0.9814049019607842;0.09832024896278194
-0.20201499999999983;0.04721222449262953;0.9853588235294118;0.0985407378439376
-0.19504749999999937;0.047305145906605096;0.989444117647059;0.09912911487073367
-0.1880824999999997;0.0473997538883379;0.9925490196078433;0.09925719279564155
-0.18111749999999915;0.04749240289742148;0.9933333333333333;0.09934111299973512
-0.17414749999999968;0.04758610111387092;0.9937254901960785;0.09939701387256061
-0.16718499999999947;0.047680431077334454;0.995228431372549;0.09952318996650573
-0.16021749999999946;0.04777336807828321;0.9955558823529411;0.0995564990841403
-0.15325249999999935;0.047867974757007874;0.996078431372549;0.09960789333409265
-0.14628749999999968;0.04796064159285348;0.9960127450980392;0.09960162106594381
-0.13931999999999922;0.04805503960899745;0.9963392156862745;0.0996357417743298
-0.13235499999999956;0.04814867899778894;0.9964049019607844;0.09964173981726733
-0.1253874999999991;0.04824163120350253;0.9967980392156863;0.09968289638495131
-0.11842249999999943;0.048336236524307165;0.9966;0.09968468680875685
-0.11145749999999977;0.04842892076392962;0.9980382352941176;0.09980518636284944
-0.1044899999999993;0.04852331973704063;0.9963401960784314;0.09965410851504627
-0.09752499999999964;0.04861696705963348;0.9979078431372549;0.0998072487257605
-0.09055749999999918;0.048709934101167245;0.9985627450980392;0.09985765718723573
-0.08359249999999951;0.04880453801301347;0.9984647058823529;0.09984974497096953
-0.0766274999999994;0.04889723924776823;0.9989549019607843;0.09989822704427628
-0.06965999999999939;0.048991639083802135;0.9996088235294117;0.09996224304512023
-0.06269499999999928;0.04908529411398637;0.9992166666666666;0.09992986106205677
-0.05572749999999971;0.04917827563507133;0.9997392156862746;0.09997573558412859
-0.048762499999999154;0.049272878090560863;0.9996088235294117;0.09996224304512023
-0.04179749999999949;0.04936559592551969;0.9999343137254901;0.09999377656956063
-0.03482999999999992;0.04945999653523711;0.9995421568627452;0.09995728937745973
-0.027864999999999363;0.04955365905530377;0.9998696078431373;0.09998832112160418
-0.02089749999999979;0.0496466547117903;1.0;0.1000000499999875
-0.013932499999999237;0.04974125566694667;0.9997058823529411;0.09997135739358412
-0.006967499999999571;0.049833989720306095;0.99915;0.09991739767761439
8.881784197001252e-16;0.04992839101901338;0.9985950980392158;0.09986528935727765
0.006962500000000649;0.05002133049956639;0.9990529411764706;0.09991699919953617
0.01393250000000057;0.0501150702786906;0.9993460784313726;0.09993483813571835
0.02089750000000068;0.050209669692754685;0.998463725490196;0.09987518279900963
0.02786250000000079;0.050302419595275434;0.9996411764705883;0.09996693466330349
0.03483000000000036;0.05039682150258097;0.9990862745098039;0.09990867749669591
0.04179250000000012;0.050489774522883654;0.998921568627451;0.09989247277386883
0.048762500000000486;0.05058352132204869;0.9983666666666667;0.09986164521421842
