Distance_(unit),Gray_Value
0.5515,0.867
0.5531,0.833
0.5547,0.867
0.5562,0.867
0.5578,0.733
0.5593,0.833
0.5609,1.067
0.5625,0.933
0.5640,0.933
0.5656,0.867
0.5672,0.967
0.5687,1.167
0.5703,1.400
0.5718,1.133
0.5734,1.033
0.5750,1.067
0.5765,0.800
0.5781,0.900
0.5797,1.367
0.5812,1.400
0.5828,1.533
0.5843,1.633
0.5859,1.233
0.5875,0.933
0.5890,0.933
0.5906,1.000
0.5922,0.967
0.5937,0.733
0.5953,0.733
0.5968,0.733
0.5984,0.767
0.6000,1.133
0.6015,1.300
0.6031,1.267
0.6047,1.333
0.6062,1.233
0.6078,1.300
0.6093,1.100
0.6109,1.100
0.6125,0.933
0.6140,0.867
0.6156,1.167
0.6172,1.233
0.6187,1.467
0.6203,1.433
0.6218,1.333
0.6234,1.233
0.6250,1.433
0.6265,1.467
0.6281,1.533
0.6296,1.700
0.6312,1.767
0.6328,1.533
0.6343,1.300
0.6359,1.133
0.6375,0.933
0.6390,0.933
0.6406,1.100
0.6421,1.100
0.6437,1.033
0.6453,0.967
0.6468,0.900
0.6484,0.900
0.6500,0.867
0.6515,0.933
0.6531,1.033
0.6546,1.067
0.6562,1.033
0.6578,0.933
0.6593,0.900
0.6609,0.900
0.6625,1.200
0.6640,1.467
0.6656,1.500
0.6671,1.167
0.6687,1.100
0.6703,1.167
0.6718,1.500
0.6734,1.467
0.6750,1.433
0.6765,1.267
0.6781,1.067
0.6796,0.900
0.6812,1.067
0.6828,1.067
0.6843,1.133
0.6859,1.100
0.6875,1.133
0.6890,1.033
0.6906,1.133
0.6921,1.067
0.6937,1.033
0.6953,1.233
0.6968,1.333
0.6984,1.167
0.7000,1.300
0.7015,1.333
0.7031,1.367
0.7046,1.400
0.7062,1.200
0.7078,1.133
0.7093,0.867
0.7109,0.767
0.7125,1.067
0.7140,1.167
0.7156,1.200
0.7171,1.200
0.7187,1.067
0.7203,0.833
0.7218,0.933
0.7234,0.867
0.7250,1.267
0.7265,1.667
0.7281,1.733
0.7296,1.600
0.7312,1.433
0.7328,1.867
0.7343,1.900
0.7359,1.400
0.7375,1.067
0.7390,1.167
0.7406,1.300
0.7421,1.133
0.7437,1.300
0.7453,1.667
0.7468,1.767
0.7484,1.233
0.7500,1.100
0.7515,1.267
0.7531,1.233
0.7546,1.000
0.7562,0.967
0.7578,1.267
0.7593,1.333
0.7609,1.267
0.7625,1.233
0.7640,1.267
0.7656,1.300
0.7671,1.067
0.7687,0.767
0.7703,0.967
0.7718,1.100
0.7734,1.000
0.7750,1.133
0.7765,1.500
0.7781,1.633
0.7796,1.733
0.7812,1.633
0.7828,1.533
0.7843,1.000
0.7859,0.867
0.7875,0.900
0.7890,1.067
0.7906,1.467
0.7921,1.467
0.7937,1.200
0.7953,0.900
0.7968,1.033
0.7984,1.033
0.8000,0.733
0.8015,1.100
0.8031,1.167
0.8046,1.133
0.8062,1.000
0.8078,1.033
0.8093,1.100
0.8109,1.133
0.8125,0.967
0.8140,1.233
0.8156,1.400
0.8171,1.067
0.8187,0.967
0.8203,1.100
0.8218,1.233
0.8234,1.133
0.8250,0.900
0.8265,0.833
0.8281,0.867
0.8296,1.133
0.8312,0.933
0.8328,0.867
0.8343,0.933
0.8359,0.933
0.8374,1.233
0.8390,1.167
0.8406,0.967
0.8421,1.067
0.8437,0.900
0.8453,0.967
0.8468,0.967
0.8484,1.133
0.8499,1.267
0.8515,1.067
0.8531,0.867
0.8546,0.967
0.8562,1.233
0.8578,1.167
0.8593,1.200
0.8609,1.567
0.8624,1.533
0.8640,1.433
0.8656,1.133
0.8671,1.067
0.8687,1.300
0.8703,1.533
0.8718,1.767
0.8734,1.667
0.8749,1.367
0.8765,1.633
0.8781,1.667
0.8796,2.167
0.8812,2.200
0.8828,1.867
0.8843,1.567
0.8859,1.400
0.8874,1.333
0.8890,1.233
0.8906,1.267
0.8921,1.333
0.8937,1.400
0.8953,1.467
0.8968,1.333
0.8984,1.367
0.8999,1.500
0.9015,1.433
0.9031,1.333
0.9046,1.333
0.9062,1.333
0.9078,1.100
0.9093,1.133
0.9109,1.100
0.9124,1.233
0.9140,1.267
0.9156,1.333
0.9171,1.567
0.9187,1.833
0.9203,1.900
0.9218,1.967
0.9234,1.967
0.9249,2.033
0.9265,1.900
0.9281,1.967
0.9296,2.100
0.9312,2.133
0.9328,2.100
0.9343,2.167
0.9359,2.500
0.9374,2.633
0.9390,2.600
0.9406,2.267
0.9421,2.267
0.9437,2.100
0.9453,2.367
0.9468,2.567
0.9484,3.200
0.9499,3.267
0.9515,3.233
0.9531,3.333
0.9546,3.200
0.9562,3.333
0.9578,3.500
0.9593,4.267
0.9609,5.033
0.9624,5.933
0.9640,6.233
0.9656,6.733
0.9671,7.100
0.9687,7.233
0.9703,7.467
0.9718,7.933
0.9734,8.333
0.9749,7.967
0.9765,7.967
0.9781,8.333
0.9796,9.333
0.9812,10.200
0.9828,10.800
0.9843,10.900
0.9859,11.167
0.9874,11.467
0.9890,11.800
0.9906,11.967
0.9921,12.600
0.9937,14.100
0.9953,16.600
0.9968,19.833
0.9984,22.667
0.9999,24.033
1.0015,24.600
1.0031,25.200
1.0046,25.600
1.0062,26.467
1.0078,27.200
1.0093,28.967
1.0109,31.300
1.0124,32.133
1.0140,30.000
1.0156,26.733
1.0171,25.867
1.0187,28.033
1.0203,32.800
1.0218,38.700
1.0234,42.467
1.0249,46.100
1.0265,49.000
1.0281,51.900
1.0296,53.233
1.0312,52.767
1.0328,52.267
1.0343,52.533
1.0359,53.700
1.0374,56.800
1.0390,62.133
1.0406,67.667
1.0421,70.900
1.0437,70.700
1.0452,68.433
1.0468,65.200
1.0484,62.833
1.0499,61.800
1.0515,60.833
1.0531,60.400
1.0546,60.567
1.0562,61.467
1.0577,64.100
1.0593,67.400
1.0609,69.400
1.0624,70.267
1.0640,71.433
1.0656,72.667
1.0671,73.233
1.0687,73.800
1.0702,75.233
1.0718,77.700
1.0734,79.933
1.0749,80.933
1.0765,81.000
1.0781,81.833
1.0796,83.267
1.0812,85.233
1.0827,85.567
1.0843,84.467
1.0859,84.033
1.0874,85.033
1.0890,87.233
1.0906,90.367
1.0921,93.100
1.0937,95.067
1.0952,96.067
1.0968,95.833
1.0984,95.133
1.0999,94.500
1.1015,95.867
1.1031,98.433
1.1046,101.067
1.1062,102.867
1.1077,103.567
1.1093,103.833
1.1109,104.567
1.1124,106.533
1.1140,109.933
1.1156,112.367
1.1171,110.433
1.1187,106.600
1.1202,105.033
1.1218,106.933
1.1234,110.167
1.1249,112.300
1.1265,113.200
1.1281,112.567
1.1296,112.067
1.1312,111.433
1.1327,111.367
1.1343,111.900
1.1359,112.700
1.1374,113.133
1.1390,112.733
1.1406,111.267
1.1421,109.033
1.1437,106.933
1.1452,106.667
1.1468,107.600
1.1484,108.200
1.1499,108.867
1.1515,109.367
1.1531,109.400
1.1546,108.733
1.1562,107.800
1.1577,107.500
1.1593,108.367
1.1609,109.333
1.1624,110.067
1.1640,109.600
1.1656,108.333
1.1671,107.000
1.1687,105.433
1.1702,103.867
1.1718,102.967
1.1734,102.433
1.1749,102.333
1.1765,102.367
1.1781,103.167
1.1796,105.400
1.1812,108.567
1.1827,110.233
1.1843,109.700
1.1859,108.467
1.1874,109.400
1.1890,111.600
1.1906,110.033
1.1921,99.333
1.1937,83.800
1.1952,74.533
1.1968,73.367
1.1984,74.700
1.1999,76.400
1.2015,77.500
1.2031,77.600
1.2046,77.333
1.2062,77.867
1.2077,79.267
1.2093,80.567
1.2109,80.800
1.2124,80.833
1.2140,80.933
1.2156,82.100
1.2171,84.800
1.2187,86.433
1.2202,85.967
1.2218,84.200
1.2234,82.233
1.2249,80.433
1.2265,79.467
1.2281,79.767
1.2296,80.000
1.2312,77.733
1.2327,71.667
1.2343,63.433
1.2359,57.333
1.2374,53.667
1.2390,52.733
1.2406,53.367
1.2421,53.667
1.2437,52.633
