position;dPos;Intensity;dInt
0.608625;0.007842508285264012;0.003692156862745098;0.0007511302688374427
1.1250999999999998;0.013079690778000459;0.015325490196078432;0.0021337729266427147
1.4841250000000001;0.01686483819437243;0.019968627450980395;0.0034544352284651613
1.8179750000000001;0.020458463964391528;0.03594705882352941;0.008592769766459906
2.252575;0.025175074118015468;0.03307254901960784;0.009196778174110817
2.529725;0.028196506915765567;0.054182352941176466;0.010398204225796091
2.983225;0.03315455325027639;0.041437254901960784;0.026485524294265445
3.32965;0.036947146562824267;0.05428137254901961;0.01625230397679104
3.688675;0.040888525435277615;0.06428137254901961;0.03165706469628138
4.1044;0.045460686287103466;0.08189509803921569;0.028024474658575584
4.438225;0.049122354121335796;0.09575098039215688;0.08205902209602639
4.84135;0.053553053257405475;0.09780980392156863;0.02955841614456041
5.187775;0.057365935369660816;0.11843039215686274;0.056513464750220885
5.5594;0.0614606134346777;0.14382352941176468;0.07626331193739985
5.9373249999999995;0.06561559350881382;0.2134637254901961;0.048753197112769125
6.30895;0.06970583474072144;0.2669941176470588;0.0932103887663363
7.0522;0.07789720566403563;0.2351637254901961;0.05513688822602695
7.436425;0.08212581424655885;0.17996764705882354;0.019549083268247155
7.80805;0.08621895554899371;0.11487058823529411;0.018035043268531652
8.23005;0.09086890138001573;0.061993137254901964;0.014520238262319959
8.601675;0.09496527067908815;0.051763725490196075;0.005667749405515531
8.9985;0.09934170873134272;0.0354578431372549;0.003668274990230038
9.382725;0.10357325192595963;0.026731372549019607;0.005771597040490241
9.76065;0.10773781618229046;0.021798039215686273;0.0023345420799495645
10.170075;0.11225178405792613;0.021144117647058824;0.0021822581495248216
10.5417;0.11635103065776506;0.014445098039215686;0.0018012386520916803
10.919625;0.12051448938392904;0.011764705882352941;0.00358004637206612
11.329025000000001;0.12502781312171776;0.008889215686274508;0.0012133894957131696
11.66285;0.1287072920626013;0.007352941176470588;0.0014048135881605279
12.135275;0.13391659207314788;0.006862745098039215;0.003054955657443792
